Transaction_ID,Store_ID,Revenue,Units_Sold
1003,Store_A,120,9
1004,Store_C,120,12
1005,Store_B,500,11
1006,Store_B,120,2
1007,Store_C,250,12
1008,Store_A,250,2
1009,Store_B,50,11
1010,Store_C,120,10
1011,Store_B,50,9
1012,Store_C,250,12
1014,Store_A,50,5
1015,Store_B,50,10
1018,Store_A,120,5
1019,Store_B,50,3
1020,Store_B,250,12
1022,Store_A,50,1
1025,Store_A,250,6
1026,Store_B,120,10
1027,Store_A,500,11
1029,Store_B,120,10
1030,Store_C,250,1
1031,Store_C,500,11
1032,Store_C,50,11
1033,Store_A,50,4
1034,Store_B,500,4
1035,Store_A,500,4
1036,Store_C,50,11
1037,Store_A,250,1
1038,Store_A,120,9
1040,Store_B,50,12
1041,Store_A,120,1
1042,Store_B,120,4
1043,Store_A,50,1
1045,Store_B,250,1
1047,Store_C,120,2
1048,Store_B,500,8
1050,Store_B,120,5
1051,Store_A,250,12
1052,Store_A,120,1
1053,Store_A,250,3
1054,Store_C,120,12
1055,Store_A,50,5
1056,Store_C,250,8
1057,Store_B,120,6
1058,Store_A,120,7
1059,Store_A,120,10
1060,Store_B,50,7
1061,Store_B,500,9
1063,Store_C,50,9
1064,Store_B,120,3
1065,Store_C,50,2
1066,Store_A,120,5
1067,Store_A,50,12
1068,Store_C,120,12
1069,Store_B,120,9
1070,Store_A,120,4
1071,Store_A,250,9
1072,Store_A,50,6
1073,Store_A,50,8
1074,Store_B,50,1
1075,Store_A,50,6
1076,Store_C,120,11
1077,Store_A,250,9
1078,Store_A,50,6
1079,Store_B,250,10
1080,Store_A,250,6
1081,Store_B,500,6
1082,Store_A,500,4
1083,Store_A,120,7
1084,Store_B,120,6
1085,Store_C,250,10
1086,Store_B,250,5
1087,Store_A,500,11
1088,Store_A,250,5
1089,Store_A,120,2
1090,Store_A,120,9
1091,Store_B,120,6
1092,Store_A,250,1
1093,Store_A,120,1
1096,Store_C,120,2
1097,Store_A,50,7
1098,Store_B,120,2
1099,Store_C,250,10
1100,Store_B,250,10
